post_id,sku,slug,url
152549,TFFIX116BN,tac-force-fixed-blade-25,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-25/
152550,TFFIX116GN,tac-force-fixed-blade-26,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-26/
152551,TFFIX116OR,tac-force-fixed-blade-27,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-27/
152552,TFFIX116RD,tac-force-fixed-blade-28,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-28/
152553,TFFIX117BK,tac-force-fixed-blade-29,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-29/
152554,TFFIX117CA,tac-force-fixed-blade-30,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-30/
152555,TFFIX117TN,tac-force-fixed-blade-31,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-31/
152556,TFFIX118BL,tac-force-fixed-blade-32,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-32/
152557,TFFIX118BN,tac-force-fixed-blade-33,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-33/
152558,TFFIX118GN,tac-force-fixed-blade-34,https://www.michigansportsoutdoor.com/product/tac-force-fixed-blade-34/
152559,WE22042B1MB,we-knife-co-ltd-ignio-mystery-box,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-ignio-mystery-box/
152560,WE22042B2MB,we-knife-co-ltd-ignio-mystery-box-2,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-ignio-mystery-box-2/
152561,WE22042B3MB,we-knife-co-ltd-ignio-mystery-box-3,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-ignio-mystery-box-3/
152562,WE22042BDS1MB,we-knife-co-ltd-ignio-mystery-box-4,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-ignio-mystery-box-4/
152563,WE25061B1,we-knife-co-ltd-dracarys,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-dracarys/
152564,WE25061B2,we-knife-co-ltd-dracarys-2,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-dracarys-2/
152565,WE25061B3,we-knife-co-ltd-dracarys-3,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-dracarys-3/
152566,WE25061B4,we-knife-co-ltd-dracarys-4,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-dracarys-4/
152567,WE25061B5,we-knife-co-ltd-dracarys-5,https://www.michigansportsoutdoor.com/product/we-knife-co-ltd-dracarys-5/
152568,WXC10BNV,wixco-drax-ii-crossbar-lock,https://www.michigansportsoutdoor.com/product/wixco-drax-ii-crossbar-lock/
152570,WXC10DNV,wixco-drax-ii-crossbar-lock-2,https://www.michigansportsoutdoor.com/product/wixco-drax-ii-crossbar-lock-2/
152572,WXC10ENV,wixco-drax-ii-crossbar-lock-3,https://www.michigansportsoutdoor.com/product/wixco-drax-ii-crossbar-lock-3/
152574,WXC15A,wixco-axor-linerlock-black,https://www.michigansportsoutdoor.com/product/wixco-axor-linerlock-black/
152576,WXC15B,wixco-axor-linerlock-black-2,https://www.michigansportsoutdoor.com/product/wixco-axor-linerlock-black-2/
152578,WXC15C,wixco-axor-linerlock-teal,https://www.michigansportsoutdoor.com/product/wixco-axor-linerlock-teal/
152580,WXC15D,wixco-axor-linerlock-white-jade,https://www.michigansportsoutdoor.com/product/wixco-axor-linerlock-white-jade/
152582,WXC15E,wixco-axor-linerlock-pink,https://www.michigansportsoutdoor.com/product/wixco-axor-linerlock-pink/
